BUS_STOP_N,Name,Comment,BFC marker ID,coords.x1,coords.x2
10249,OPP GAN ENG SENG SEC SCH,ALEXANDRA ROAD,1283,103.82408,1.29088
10261,DELTA SPORTS HALL,ALEXANDRA ROAD,1284,103.82045,1.29096
10269,OPP DELTA SPORTS HALL,ALEXANDRA ROAD,1285,103.82058,1.29122
10271,OPP TANGLIN VIEW,ALEXANDRA ROAD,1286,103.81758,1.29116
10279,TANGLIN VIEW,ALEXANDRA ROAD,1287,103.81754,1.29134
10281,SIS BLDG,ALEXANDRA ROAD,1288,103.81445,1.29154
10289,OPP SIS BLDG,ALEXANDRA ROAD,1289,103.81428,1.29165
10291,AFT SM MOTORS CTR,ALEXANDRA ROAD,1290,103.81064,1.29238
10299,OPP SM MOTORS CTR,ALEXANDRA ROAD,1291,103.81147,1.29232
10301,OPP BLK 108,MARGARET DRIVE,1292,103.81088,1.29638
10309,BLK 118,MARGARET DRIVE,1293,103.81079,1.29634
10311,OPP QUEENSTOWN SEC SCH,MARGARET DRIVE,1294,103.81319,1.29544
10319,QUEENSTOWN SEC SCH,MARGARET DRIVE,1295,103.81416,1.29403
10321,AFT MARGARET DR,TANGLIN ROAD,1296,103.81593,1.29428
10329,CRESCENT GIRLS' SCH,TANGLIN ROAD,1297,103.81592,1.29376
10331,BEF BT MERAH CTRL,HENDERSON ROAD,1298,103.81839,1.28139
10339,AFT BT MERAH CTRL,HENDERSON ROAD,1299,103.81861,1.2812
10341,HENDERSON SEC SCH,HENDERSON ROAD,1300,103.82067,1.28486
10349,BLK 116,HENDERSON ROAD,1301,103.82102,1.285
10351,BLK 96,HENDERSON ROAD,1302,103.82212,1.2868
10359,BET BLKS 110/113,HENDERSON ROAD,1303,103.82254,1.28724
10361,CENDEX CTR,LOWER DELTA ROAD,1304,103.82353,1.28038
10369,OPP CENDEX CTR,LOWER DELTA ROAD,1305,103.82388,1.28038
10371,BLK 129,LOWER DELTA ROAD,1306,103.8245,1.28365
10379,BLK 25B,LOWER DELTA ROAD,1307,103.82489,1.28375
10381,OPP BLK 48,LOWER DELTA ROAD,1308,103.82563,1.28907
10389,BLK 48,LOWER DELTA ROAD,1309,103.82571,1.28875
10391,OPP MELATI BLK 2,KAMPONG BAHRU ROAD,1310,103.83112,1.27617
10399,MELATI BLK 2,KAMPONG BAHRU ROAD,1311,103.83013,1.27587
10401,SHRIRO HSE,HOY FATT ROAD,1312,103.81171,1.28801
10409,BLK 50,HOY FATT ROAD,1313,103.81105,1.28787
10411,OPP BLK 53,HOY FATT ROAD,1314,103.81282,1.28894
10419,BLK 52,HOY FATT ROAD,1315,103.81257,1.28834
10421,BLK 63B,LENGKOK BAHRU,1316,103.81497,1.28896
10429,BLK 54,LENGKOK BAHRU,1317,103.81387,1.2893
10431,BT MERAH SKILLS DEV CTR,LENGKOK BAHRU,1318,103.81398,1.2872
10439,BLK 55,LENGKOK BAHRU,1319,103.81426,1.28744
10441,OPP BLK 44,LENGKOK BAHRU,1320,103.81162,1.28662
10449,BLK 44,LENGKOK BAHRU,1321,103.81203,1.28658
10451,OPP BLK 71,REDHILL ROAD,1322,103.81732,1.28775
10459,BLK 72,REDHILL ROAD,1323,103.81642,1.28738
10461,AFT MARGARET DR,,5782,103.81169,1.2968
10469,BEF MARGARET DR,,5783,103.81217,1.29668
10471,BEF TANGLIN RD,,5784,103.81469,1.29667
10479,AFT TANGLIN RD,,5785,103.81548,1.29668
10481,OPP BLK 73,REDHILL CLOSE,1324,103.81792,1.28787
10489,BLK 73,REDHILL CLOSE,1325,103.81778,1.28812
10501,BLK 104,JALAN BUKIT MERAH,1326,103.82528,1.28107
10519,BLK 4,DELTA ROAD,1327,103.82608,1.29166
10589,NEW BRIDGE RD TER,EU TONG SEN STREET,6770,103.83798,1.27881
10589,NEW BRIDGE RD TER,EU TONG SEN STREET,6770,103.83798,1.27881
10599,OPP BLK 36,JALAN RUMAH TINGGI,1330,103.80913,1.28861
10651,BLK 161,BUKIT MERAH CENTRAL,1332,103.81548,1.2833
10659,BLK 1003,BUKIT MERAH CENTRAL,1333,103.81473,1.28362
11009,GHIM MOH TER,GHIM MOH ROAD,1334,103.78924,1.31099
11009,GHIM MOH TER,GHIM MOH ROAD,1334,103.78924,1.31099
11019,OPP OG FTY,JALAN BUKIT MERAH,1336,103.80565,1.2868
